,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/ext_inp_rate_common,config/saveFolder,config/simLabel,logdir
0,"loss    0.0
dtype: float64",0.0,1738108193,,False,1,84e0a_00000,2025-01-28_18-49-53,16.263736486434937,16.263736486434937,3619245,grid,10.0.0.101,16.263736486434937,1,25,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00000,84e0a_00000
1,"loss    0.0
dtype: float64",0.0,1738108191,,False,1,84e0a_00001,2025-01-28_18-49-51,14.053219556808472,14.053219556808472,3619254,grid,10.0.0.101,14.053219556808472,1,50,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00001,84e0a_00001
2,"loss    0.0
dtype: float64",0.0,1738108191,,False,1,84e0a_00002,2025-01-28_18-49-51,14.220481157302856,14.220481157302856,3619255,grid,10.0.0.101,14.220481157302856,1,75,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00002,84e0a_00002
3,"loss    0.0
dtype: float64",0.0,1738108196,,False,1,84e0a_00003,2025-01-28_18-49-56,19.107309341430664,19.107309341430664,3619256,grid,10.0.0.101,19.107309341430664,1,100,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00003,84e0a_00003
4,"loss    0.0
dtype: float64",0.0,1738108194,,False,1,84e0a_00004,2025-01-28_18-49-54,17.487713098526,17.487713098526,3619273,grid,10.0.0.101,17.487713098526,1,125,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00004,84e0a_00004
5,"loss    0.0
dtype: float64",0.0,1738108202,,False,1,84e0a_00005,2025-01-28_18-50-02,24.497808694839478,24.497808694839478,3619275,grid,10.0.0.101,24.497808694839478,1,150,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00005,84e0a_00005
6,"loss    0.0
dtype: float64",0.0,1738108209,,False,1,84e0a_00006,2025-01-28_18-50-09,32.327906131744385,32.327906131744385,3619276,grid,10.0.0.101,32.327906131744385,1,200,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00006,84e0a_00006
7,"loss    0.0
dtype: float64",0.0,1738108211,,False,1,84e0a_00007,2025-01-28_18-50-11,33.84883975982666,33.84883975982666,3619274,grid,10.0.0.101,33.84883975982666,1,250,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00007,84e0a_00007
8,"loss    0.0
dtype: float64",0.0,1738108220,,False,1,84e0a_00008,2025-01-28_18-50-20,43.07050800323486,43.07050800323486,3619277,grid,10.0.0.101,43.07050800323486,1,300,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00008,84e0a_00008
9,"loss    0.0
dtype: float64",0.0,1738108230,,False,1,84e0a_00009,2025-01-28_18-50-30,52.45712113380432,52.45712113380432,3619278,grid,10.0.0.101,52.45712113380432,1,375,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00009,84e0a_00009
10,"loss    0.0
dtype: float64",0.0,1738108242,,False,1,84e0a_00010,2025-01-28_18-50-42,47.85048294067383,47.85048294067383,3626363,grid,10.0.0.101,47.85048294067383,1,500,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00010,84e0a_00010
11,"loss    0.0
dtype: float64",0.0,1738108308,,False,1,84e0a_00011,2025-01-28_18-51-48,113.35987424850464,113.35987424850464,3626364,grid,10.0.0.101,113.35987424850464,1,1000,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00011,84e0a_00011
12,"loss    0.0
dtype: float64",0.0,1738108353,,False,1,84e0a_00012,2025-01-28_18-52-33,156.43607187271118,156.43607187271118,3626490,grid,10.0.0.101,156.43607187271118,1,1750,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00012,84e0a_00012
13,"loss    0.0
dtype: float64",0.0,1738108408,,False,1,84e0a_00013,2025-01-28_18-53-28,209.92750239372253,209.92750239372253,3626584,grid,10.0.0.101,209.92750239372253,1,2500,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00013,84e0a_00013
14,"loss    0.0
dtype: float64",0.0,1738108424,,False,1,84e0a_00014,2025-01-28_18-53-44,224.0853009223938,224.0853009223938,3627750,grid,10.0.0.101,224.0853009223938,1,3750,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00014,84e0a_00014
15,"loss    0.0
dtype: float64",0.0,1738108451,,False,1,84e0a_00015,2025-01-28_18-54-11,245.673410654068,245.673410654068,3629628,grid,10.0.0.101,245.673410654068,1,5000,/ddn/niknovikov19/repo/model_tuner/models/L24/exp_results/rx_batch_unconn_2,rx_batch_unconn_2_00015,84e0a_00015
